Date,Revenue
1/01/22 0:00,14307.22
1/02/22 0:00,33544.45
1/03/22 0:00,18190.11
1/04/22 0:00,15644.62
1/05/22 0:00,34230.18
1/06/22 0:00,22796.42
1/07/22 0:00,16055.52
1/08/22 0:00,30826.16
1/09/22 0:00,27213.94
1/10/22 0:00,11362.76
1/11/22 0:00,8200.22
1/12/22 0:00,9942.44
1/13/22 0:00,8654
1/14/22 0:00,6543.72
1/15/22 0:00,7357.94
1/16/22 0:00,19657.04
1/17/22 0:00,9609.87
1/18/22 0:00,6982.54
1/19/22 0:00,6103.64
1/20/22 0:00,14901.63
1/21/22 0:00,11029.41
1/22/22 0:00,38119.74
1/23/22 0:00,13059.7
1/24/22 0:00,10979.88
1/25/22 0:00,10547.8
1/26/22 0:00,11526.45
1/27/22 0:00,7608.42
1/28/22 0:00,7419.16
1/29/22 0:00,17930.81
1/30/22 0:00,30764.07
1/31/22 0:00,11708.25
2/01/22 0:00,5101.84
2/02/22 0:00,12709.98
2/03/22 0:00,7965.15
2/04/22 0:00,6182.77
2/05/22 0:00,13544.33
2/06/22 0:00,12917.55
2/07/22 0:00,10299.17
2/08/22 0:00,3976.17
2/09/22 0:00,11033.37
2/10/22 0:00,8367.55
2/11/22 0:00,16740.47
2/12/22 0:00,11289.49
2/13/22 0:00,9680.17
2/14/22 0:00,14108.74
2/15/22 0:00,14893.43
2/16/22 0:00,14392.26
2/17/22 0:00,21804
2/18/22 0:00,12732.46
2/19/22 0:00,15134.01
2/20/22 0:00,14693.78
2/21/22 0:00,14661.04
2/22/22 0:00,14587.41
2/23/22 0:00,12197.98
2/24/22 0:00,17744.88
2/25/22 0:00,17287.44
2/26/22 0:00,9367.31
2/27/22 0:00,23347.05
2/28/22 0:00,13130.34
3/01/22 0:00,10388.53
3/02/22 0:00,8930.83
3/03/22 0:00,5317.71
3/04/22 0:00,1916.26
3/05/22 0:00,7159.64
3/06/22 0:00,8820.39
3/07/22 0:00,16395.65
3/08/22 0:00,2186.46
3/09/22 0:00,7877.1
3/10/22 0:00,5146.8
3/11/22 0:00,9411.1
3/12/22 0:00,8941.34
3/13/22 0:00,10002.35
3/14/22 0:00,10911.59
3/15/22 0:00,15009.43
3/16/22 0:00,10375.45
3/17/22 0:00,3923.14
3/18/22 0:00,15108.14
3/19/22 0:00,13855.46
3/20/22 0:00,19156.1
3/21/22 0:00,19343.02
3/22/22 0:00,11547.64
3/23/22 0:00,15187.99
3/24/22 0:00,7303.78
3/25/22 0:00,5117.28
3/26/22 0:00,33119.1
3/27/22 0:00,17816.21
3/28/22 0:00,4185.01
3/29/22 0:00,8018.83
3/30/22 0:00,9247.34
3/31/22 0:00,10679.59
